title,filename,series
10 'The New 52'ù The Flash (Previews Exclusive),10-TheFlashNew52Previews-150x150.jpg,DC
10 B&W Flash (HT),bandwflash-150x150.jpg,DC
11 Hal Jordan,11-HalJordan-150x150.jpg,DC
11 'Metallic'ù Hal Jordan (SDCC 2011),11-HalJordanSDCC2011-150x150.jpg,DC
12 Sinestro,12-Sinestro-150x150.jpg,DC
12 'Metallic'ù Sinestro (SDCC 2011),12-SinestroMetallicSDCC2011-150x150.jpg,DC
13 Two-Face,13-TwoFace-150x150.jpg,DC
14 Shazam!,14-Shazam-150x150.jpg,DC
14 'Metallic'ù Shazam! (Gemini Collectibles),14-ShazamGeminiCollectiblesMetallic-150x150.jpg,DC
15 Green Arrow,15-GreenArrow-150x150.jpg,DC
15 'Metallic'ù Green Arrow (Gemini Collectibles),15-GreenArrowMetallicGeminiCollectibles-150x150.jpg,DC
16 Aquadman,16-Aquaman-150x150.jpg,DC
16 'Metallic'ù Aquaman (Gemini Collectibles),16-MetallicAquamanGemini-150x150.jpg,DC
16 'The New 52'ù Aquaman (Previews Exclusive),16-TheNew52Aquaman-150x150.jpg,DC
17 Hawkman,17-Hawkman-150x150.jpg,DC
17 'Metallic'ù Hawkman (Gemini Collectibles),17-MetallicHawkmanGeminiCollectibles-150x150.jpg,DC
18 Martian Manhunter,18-MartainManHunter-150x150.jpg,DC
18 'Metallic'ù Martian Manhunter (SDCC 2011),18-MetallicMartianManhunterSDCC2011-150x150.jpg,DC
19 Kark Knight Batman,19-BatmanDK-150x150.jpg,DC
19 Dark Knight Trilogy Batman,dktrilogybatman-150x150.jpg,DC
19 'Pantina'ù Batman (SDCC 2012),19-PatinaBatmanSDCC2012-150x150.jpg,DC
20 Bane,20-BaneDK-150x150.jpg,DC
21 Catwoman,21-CatwomanDK-150x150.jpg,DC
22 The Black Flash,22-TheBlackFlash-150x150.jpg,DC
23 Domo Batman,23-DomoBatman-150x150.jpg,DC
23 'Metallic'ù Domo Batman (SDCC 2013),23-DomoBatmanMetallic-150x150.jpg,DC
24 Domo Dark Knight,24-DomoDarkKnight-150x150.jpg,DC
25 Domo Green Lantern,25-DomoGreenLantern-150x150.jpg,DC
26 Domo The Flash,26-DomoTheFlash-150x150.jpg,DC
27 Domo Superman,27-DomoSuperman-150x150.jpg,DC
28 Domo Man of Steel (SDCC 2013),28-DomoManOfSteelMetallic-150x150.jpg,DC
29 Superman,29-Superman-150x150.jpg,DC
30 General Zod,30-GeneralZod-150x150.jpg,DC
31 Superboy,31-Superboy-150x150.jpg,DC
32 Superman (SDCC 2013),32-SupermanSDCC2013-150x150.jpg,DC
33 Batman Beyond,33-BatmanBeyond-150x150.jpg,DC
33 'Metallic'ù Batman Beyond (Fugitive Toys),33-MetallicBatmanBeyondFugitiveToysExclusive-150x150.jpg,DC
34 Harley Quinn,34-HarleyQuinn-150x150.jpg,DC
34 'B&W'ù Harley Quinn (Harrison's Comics),34-HarleyQuinnBWHarrisonsComics-150x150.jpg,DC
34 'GITD'ù Harley Quinn (Previews Exclusive),34-GITDHarleyQuinnPreviewsExclusive-150x150.jpg,DC
34 'Metallic'ù Harley Quinn (Conquest Comics),34-MetallicHarleyQuinnConquestComics-150x150.jpg,DC
35 Darkseid,35-Darkseid-150x150.jpg,DC
35 'GITD'ù Darkseid (Gemini Collectibles),35-GITDDarkseidGeminiCollect-150x150.jpg,DC
36 The Joker,36-TheJoker-150x150.jpg,DC
37 The Joker (with Clown Mask),37-TheJoker-150x150.jpg,DC
39 Reverse Flash (Dallas Comic Con),39-ReverseFlashDallasComicCon-150x150.jpg,DC
39 'GITD'ù Reverse Flash (Dallas Comic Con),39-ReverseFlashGITD-150x150.jpg,DC
40 Nightwing,40-NightWing-150x150.jpg,DC
40 'Red Colorway'ù Nightwing (Fugitive Toys),40-RedColorwayNightWingFugitive-150x150.jpg,DC
40 'Metallic Red Colorway'ù Nightwing (Fugitive Toys),40-MetallicRedColorwayNightWingFugitive-150x150.jpg,DC
41 Batman (Classic TV Version),41-Batman-150x150.jpg,DC
41 'Metallic'ù Batman (Alamo City Comic Con),41-MetallicBatmanAlamoCityComicCon-150x150.jpg,DC
42 Robin (Classic TV Version),42-Robin-150x150.jpg,DC
43 Catwoman (Classic TV Version),43-Catwoman60s-150x150.jpg,DC
44 The Joker (Classic TV Version),44-TheJoker60s-150x150.jpg,DC
44 'Metallic'ù The Joker (Alamo City Comic Con),44-MetallicTheJokerAlamoCity-150x150.jpg,DC
45 Harley Quinn w/ Mallet (Hot Topic),45-HarleyQuinnWithMalletHotTopic-150x150.jpg,DC
45 B&W Harley Quinn,htharleyquinn-150x150.jpg,DC
45 Pink/White Harley Quinn (HT),pinkwhiteharleyquinn-150x150.jpg,DC
46 Blackest Night Batman (Hot Topic),46-BlackestNightBatmanHotTopic-150x150.jpg,DC
47 Blue Lantern: The Flash (Fugitive,47bluelanternreg-150x150.jpg,DC
47 Metallic Blue Lantern: The Flash (Fugitive),47bluelanternmetallic-150x150.jpg,DC
48 Judge Dredd,48-JudgeDredd-150x150.jpg,DC
49 Deathstroke,deathstroke-150x150.jpg,DC
49 Metallic Deathstroke [PX],metdeathstroke-150x150.jpg,DC
50 Unmasked Deathstroke (PX Exclusive) [SDCC 14],unmaskeddeathstroke-150x150.jpg,DC
51 Unmasked Batman (Target),unmaskedbatman-150x150.jpg,DC
52 Arkham Batman,arkhambatmamn-150x150.jpg,DC
52 Blue Arkham Batman [Hot Topic],bluebatman-150x150.jpg,DC
52 Detective Mode Arkham Batman,hottopicbatmandetectivemode-150x150.jpg,DC
53 Arkham Joker,arkhamjoker-150x150.jpg,DC
54 Arkham Harley Quinn,arkhamharley-150x150.jpg,DC
55 Arkham Poison Ivy,poisonivy-150x150.jpg,DC
56 Arkham Killer Croc,killercroc-150x150.jpg,DC
57 White Lantern: Superman [Fugitivetoys.com],fugitive4-150x150.jpg,DC
57  GITD White Lantern: Superman [Fugitivetoys.com],superman-150x150.jpg,DC
58 White Lantern: Batman [FugitiveToys.com] [Fan Expo Canada],20140717_155803-150x150.jpg,DC
58 GITD White Lantern: Batman [Fugitive Toys],gitdwlbatman-150x150.jpg,DC
59 White Lantern: The Flash [Fugitivetoys.com],fugitive3-150x150.jpg,DC
59 GITD White Lantern: The Flash [Fugitivetoys.com],GITD-WhiteFlash-150x150.jpg,DC
60 Red Son Superman [Midtown Comics],Red-Son-Superman-150x150.jpg,DC
61 Star Sapphire Wonder Woman [Fugitivetoys.com],ssww-150x150.jpg,DC
61 Metallic Star Sapphire Wonder Woman [FugitiveToys.com],sswwmetallic-150x150.jpg,DC
62 Earth 2 Batman,earth2batman-150x150.jpg,DC
63 Gabriel (Last Man Standing),LMS-150x150.jpg,DC
64 Bizarro Superman,bizarrosupes-150x150.jpg,DC
65: Joker Batman (Loot Crate),65jokerbatmam-150x150.jpg,DC
66 Rolly Derby Harley Quinn,hq21-150x150.jpg,DC
67 The Phantom,ThaPhantom-150x150.png,DC
67 Red Variant Phantom,11390325_10150512640804986_1923906190774665744_n-150x150.png,DC
67 Blue Variant Phantom,11406777_10150512640799986_4333550181796571737_n-150x150.png,DC
67 80th Anniversary Gray Phantom,grayphantom-150x150.jpg,DC
68: Black Lantern Reverse Flash (Hot Topic),B3Y_begCMAAOWGy-150x150.jpg,DC
69: Thrillkiller Batman (Midtown Comics),tkbatman-150x150.jpg,DC
70 White Lantern Wonder Woman (FUGITIVE TOYS BOOTH),1534393_10207369672508698_894458731908268101_n-150x150.jpg,DC
70 GITD White Lantern Wonder Woman (FUGITIVE TOYS BOOTH),10447138_10207369672468697_7231633116938655173_n-150x150.jpg,DC
71 Arkham Knight Batman,batman-150x150.jpg,DC
72 Arkham Knight Harley Quinn,Harley-150x150.jpg,DC
73 Arkham Knight,ArkhamKnight-150x150.jpg,DC
74 Arkham Knight Scarecrow,scarecrow-150x150.jpg,DC
75 James Gordon,gothamgordon-150x150.jpg,DC
76 Harvey Bullock,gothamharvey-150x150.jpg,DC
77 Bruce Wayne,gothambrucewayne-150x150.jpg,DC
78 Oswald Cobblepot,gothamcobblepot-150x150.jpg,DC
79 Selena Kyle,gothamselina-150x150.jpg,DC
80 Fish Mooney,gothamfish-150x150.jpg,DC
81 New 52 Reverse Flash,52-reverseflash-150x150.jpg,DC
82 Swamp Thing,swampthing1-150x150.png,DC
82 Flocked Swamp Thing,flockedswampthing-150x150.png,DC
82 GITD Swamp Thing,glowswampthing-150x150.png,DC
82 Flocked Smell Swamp Thing (SDCC 16 PX),flocked-150x150.jpg,DC
83 Blackest Night Superman,blackestnightsuperman-150x150.jpg,DC
83 Gold Blackest Night Superman,goldblackestnightsuperman-150x150.jpg,DC
84 Batman,batman1-150x150.jpg,DC
85 Superman,supermanpop1-150x150.png,DC
86 Wonder Woman,wonderwomanpop1-150x150.png,DC
86 Patina Wonder Woman (BAM/Supernova),Screen-Shot-2016-06-15-at-6.06.10-PM-150x150.png,DC
86 Sepia Wonder Woman (Walmart),wonderwomansepia-150x150.png,DC
87 Aquaman,aquamanpop1-150x150.png,DC
87 Underwater Aquaman (Hot Topic),aquaman1-150x150.jpeg,DC
87 Patina Aquaman (EE SDCC 16),patinaaquaman-150x150.jpg,DC
88 Armored Batman (Legion of Collectors),locarmoredbatman-150x150.jpg,DC
89 Knightmare Batman,knightmarebatmanpop1-150x150.png,DC
90 Superman Soldier,supermansoldier-150x150.png,DC
91 Firestorm,firestorm-150x150.jpg,DC
91 White Lantern Firestorm (Fugitive Toys),10469_DC_FirestormWhiteLantern_pop_GLAM_HiRes-150x150.jpg,DC
91 GITD White Lantern Firestorm (Fugitive Toys),10509_DC_FirestormWhiteLanternGL_pop_GLAM_HiRes-150x150.jpg,DC
92 Black Manta,blackmanta-150x150.jpg,DC
93 Supergirl,93supergirl-150x150.jpg,DC
94 Power Girl,powergirl-150x150.jpg,DC
95 Cyborg,cyborg-150x150.jpg,DC
